Phases,EulerAngles_0,EulerAngles_1,EulerAngles_2
1,1.0212803,0.99175674,5.8724208
1,1.0212803,0.99175674,5.8724208
1,1.0212803,0.99175674,5.8724208
1,1.0212803,0.99175674,5.8724208
1,1.0212803,0.99175674,5.8724208
1,1.0212803,0.99175674,5.8724208
1,1.0212803,0.99175674,5.8724208
1,1.0212803,0.99175674,5.8724208
1,1.0212803,0.99175674,5.8724208
1,1.0212803,0.99175674,5.8724208
1,1.0212803,0.99175674,5.8724208
1,1.0212803,0.99175674,5.8724208
1,1.0212803,0.99175674,5.8724208
1,1.0212803,0.99175674,5.8724208
1,2.7661331,2.3056998,0.89634246
1,2.7661331,2.3056998,0.89634246
1,2.7661331,2.3056998,0.89634246
1,2.7661331,2.3056998,0.89634246
1,2.7661331,2.3056998,0.89634246
1,2.7661331,2.3056998,0.89634246
1,2.7661331,2.3056998,0.89634246
1,2.7661331,2.3056998,0.89634246
1,2.7661331,2.3056998,0.89634246
1,2.7661331,2.3056998,0.89634246
1,2.7661331,2.3056998,0.89634246
1,2.7661331,2.3056998,0.89634246
1,2.7661331,2.3056998,0.89634246
1,5.305738,2.2977328,0.36446053
1,5.305738,2.2977328,0.36446053
1,5.305738,2.2977328,0.36446053
1,5.305738,2.2977328,0.36446053
1,5.305738,2.2977328,0.36446053
1,5.305738,2.2977328,0.36446053
1,5.305738,2.2977328,0.36446053
1,5.305738,2.2977328,0.36446053
1,5.305738,2.2977328,0.36446053
1,5.305738,2.2977328,0.36446053
1,5.305738,2.2977328,0.36446053
1,5.305738,2.2977328,0.36446053
1,5.305738,2.2977328,0.36446053
1,5.305738,2.2977328,0.36446053
1,5.305738,2.2977328,0.36446053
1,5.305738,2.2977328,0.36446053
1,5.305738,2.2977328,0.36446053
1,5.305738,2.2977328,0.36446053
1,5.305738,2.2977328,0.36446053
1,5.305738,2.2977328,0.36446053
1,0.46510214,1.3709071,1.9105388
1,0.46510214,1.3709071,1.9105388
1,0.46510214,1.3709071,1.9105388
1,0.46510214,1.3709071,1.9105388
1,0.46510214,1.3709071,1.9105388
1,0.46510214,1.3709071,1.9105388
1,0.46510214,1.3709071,1.9105388
1,0.46510214,1.3709071,1.9105388
1,0.46510214,1.3709071,1.9105388
1,0.46510214,1.3709071,1.9105388
1,0.46510214,1.3709071,1.9105388
1,0.46510214,1.3709071,1.9105388
1,0.46510214,1.3709071,1.9105388
1,0.46510214,1.3709071,1.9105388
1,0.46510214,1.3709071,1.9105388
1,4.7104187,2.6378562,2.3562469
1,4.7104187,2.6378562,2.3562469
1,4.7104187,2.6378562,2.3562469
1,4.7104187,2.6378562,2.3562469
1,4.7104187,2.6378562,2.3562469
1,4.7104187,2.6378562,2.3562469
1,4.7104187,2.6378562,2.3562469
1,4.7104187,2.6378562,2.3562469
1,4.7104187,2.6378562,2.3562469
1,4.7104187,2.6378562,2.3562469
1,4.7104187,2.6378562,2.3562469
1,4.7104187,2.6378562,2.3562469
1,4.7104187,2.6378562,2.3562469
1,0.49632308,1.1227609,2.2420132
1,0.49632308,1.1227609,2.2420132
1,0.49632308,1.1227609,2.2420132
1,0.49632308,1.1227609,2.2420132
1,0.49632308,1.1227609,2.2420132
1,0.49632308,1.1227609,2.2420132
1,0.49632308,1.1227609,2.2420132
1,0.49632308,1.1227609,2.2420132
1,0.49632308,1.1227609,2.2420132
1,0.49632308,1.1227609,2.2420132
1,0.49632308,1.1227609,2.2420132
1,0.49632308,1.1227609,2.2420132
1,0.49632308,1.1227609,2.2420132
1,0.49632308,1.1227609,2.2420132
1,0.49632308,1.1227609,2.2420132
1,0.49632308,1.1227609,2.2420132
