Phases,EulerAngles_0,EulerAngles_1,EulerAngles_2
1,0.6026116,1.5009325,0.18644328
1,0.6026116,1.5009325,0.18644328
1,0.6026116,1.5009325,0.18644328
1,0.6026116,1.5009325,0.18644328
1,0.6026116,1.5009325,0.18644328
1,0.6026116,1.5009325,0.18644328
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,4.0328751,1.3458064,0.93757182
1,5.3043308,1.5822754,4.6188669
1,5.3043308,1.5822754,4.6188669
1,5.3043308,1.5822754,4.6188669
1,5.3043308,1.5822754,4.6188669
1,5.3043308,1.5822754,4.6188669
1,0.77811331,1.3520442,3.0298223
1,0.77811331,1.3520442,3.0298223
1,0.77811331,1.3520442,3.0298223
1,0.77811331,1.3520442,3.0298223
1,0.77811331,1.3520442,3.0298223
1,0.77811331,1.3520442,3.0298223
1,0.77811331,1.3520442,3.0298223
